epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,3129.95,1.28662,0.8914,1.15239,0.81715,0.78843,0.84065,0.50003,1.40898,0.88096,1.22818,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3180.71,1.28142,0.87524,1.14685,0.8153,0.79463,0.84192,0.49869,1.40929,0.86459,1.222,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3225.72,1.27676,0.88287,1.1468,0.81636,0.78975,0.84044,0.49854,1.40636,0.87243,1.2207,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3270.24,1.27652,0.88002,1.14609,0.81284,0.80177,0.84148,0.49837,1.4004,0.86555,1.21779,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3317.91,1.27172,0.86331,1.1388,0.798,0.79738,0.83618,0.49629,1.39915,0.87436,1.21982,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3368.28,1.28227,0.86946,1.14616,0.81093,0.79172,0.83581,0.49657,1.40193,0.87423,1.21921,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3418.45,1.27956,0.8676,1.14648,0.8141,0.79376,0.83976,0.50121,1.40348,0.87106,1.21975,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3468.32,1.25704,0.85624,1.13832,0.80345,0.79947,0.8389,0.4986,1.40013,0.8756,1.21918,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3515.63,1.25656,0.84898,1.13213,0.81653,0.79558,0.84236,0.50105,1.40062,0.86243,1.21714,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3560.45,1.26529,0.85332,1.13913,0.81679,0.78773,0.84072,0.49911,1.40322,0.87056,1.21918,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3605.5,1.25179,0.84358,1.13464,0.80668,0.79615,0.83855,0.49895,1.40785,0.87154,1.22198,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3650.41,1.252,0.84202,1.13216,0.80413,0.80741,0.84193,0.50059,1.40207,0.86701,1.22311,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3695.84,1.24115,0.83143,1.12683,0.82505,0.78572,0.84245,0.50191,1.39832,0.8556,1.22048,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3743.16,1.23392,0.81586,1.12437,0.81394,0.7946,0.84137,0.49973,1.40317,0.85922,1.22018,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3794.05,1.24659,0.82662,1.12959,0.81823,0.78539,0.84248,0.50166,1.4033,0.85443,1.21781,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3846.13,1.22919,0.81984,1.1249,0.81872,0.79505,0.84516,0.50529,1.40098,0.85572,1.21713,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3897.15,1.23554,0.82459,1.1259,0.80721,0.79734,0.84046,0.50123,1.40816,0.85684,1.22217,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3948.07,1.22683,0.80919,1.12326,0.80883,0.79584,0.84224,0.50289,1.40568,0.85842,1.22256,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3999.12,1.22837,0.80022,1.11629,0.81326,0.79435,0.83998,0.50051,1.40129,0.85915,1.21938,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4050.07,1.22352,0.79769,1.11647,0.80636,0.80091,0.83969,0.50222,1.39977,0.85798,1.21739,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4100.62,1.21572,0.79192,1.11177,0.8166,0.79598,0.84325,0.50443,1.39879,0.84872,1.21527,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4151.57,1.21632,0.79168,1.11738,0.8152,0.7908,0.84126,0.50426,1.39946,0.84691,1.21694,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4202.38,1.20452,0.77709,1.1124,0.8181,0.79719,0.84088,0.50119,1.40385,0.85123,1.21884,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4252.8,1.20234,0.77627,1.11012,0.81773,0.79807,0.84263,0.50223,1.40314,0.84812,1.21867,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,4302.75,1.20424,0.77271,1.10852,0.81738,0.79918,0.84335,0.50288,1.40523,0.84526,1.21959,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,4353.66,1.19288,0.76478,1.10359,0.81928,0.80139,0.84183,0.50205,1.40404,0.84829,1.2201,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,4403.82,1.18914,0.76171,1.10012,0.80974,0.80661,0.84035,0.50214,1.40366,0.85216,1.22,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4454.4,1.18987,0.76597,1.10069,0.81735,0.79717,0.83879,0.50313,1.40218,0.85257,1.21941,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4503.93,1.19511,0.76531,1.10386,0.81717,0.80167,0.8391,0.50296,1.40507,0.85584,1.22174,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4554.92,1.1775,0.75092,1.0962,0.82083,0.80015,0.83915,0.50338,1.40479,0.85312,1.22015,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4605.76,1.17811,0.65117,1.10591,0.821,0.79701,0.83879,0.50328,1.40522,0.85078,1.21973,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4653.25,1.16616,0.64067,1.10244,0.82193,0.79502,0.83854,0.50232,1.40733,0.85145,1.22036,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4699.24,1.15253,0.63103,1.09725,0.82434,0.79042,0.83729,0.50095,1.41098,0.85271,1.22333,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4746.45,1.15058,0.62442,1.0939,0.82314,0.79021,0.83748,0.50136,1.4132,0.85331,1.22498,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4793.62,1.14397,0.62039,1.0908,0.82185,0.79075,0.83564,0.49991,1.41526,0.85472,1.22596,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4841.03,1.13961,0.61377,1.08922,0.81591,0.79616,0.83535,0.49934,1.41451,0.85535,1.22568,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4887.88,1.13353,0.60817,1.08388,0.81018,0.79945,0.83438,0.49962,1.41522,0.85538,1.22664,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4935.45,1.12883,0.60331,1.08325,0.81492,0.79741,0.83391,0.49945,1.41569,0.85503,1.22735,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4984.72,1.12581,0.59981,1.082,0.81847,0.7951,0.83314,0.49852,1.41639,0.85558,1.22825,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,5031.88,1.11877,0.59369,1.07774,0.82052,0.795,0.83273,0.49909,1.4168,0.85506,1.22865,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
