epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,3277.11,1.34115,0.9755,1.17309,0.79027,0.78799,0.826,0.48129,1.4161,0.94125,1.23346,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3356.53,1.33987,0.98095,1.17685,0.79861,0.78294,0.83134,0.4909,1.41444,0.90916,1.22331,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3436.98,1.33691,0.96128,1.1723,0.79147,0.78282,0.82736,0.4842,1.41761,0.92547,1.23832,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3514.88,1.33023,0.96053,1.17141,0.79903,0.78509,0.83356,0.48483,1.42157,0.90728,1.22332,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3594.35,1.32788,0.95383,1.16767,0.81442,0.77041,0.83594,0.48889,1.41158,0.90674,1.22223,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3673.72,1.31843,0.94353,1.17179,0.80436,0.76335,0.83094,0.48631,1.4085,0.9181,1.22834,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3753,1.32174,0.95629,1.17241,0.815,0.78611,0.84109,0.49589,1.40669,0.90584,1.22933,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3832.25,1.32426,0.93746,1.17226,0.8103,0.78927,0.84023,0.49362,1.39773,0.89693,1.2251,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3911.61,1.30419,0.93577,1.16432,0.81429,0.77971,0.83743,0.49022,1.40853,0.90612,1.22438,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3990.24,1.31211,0.93109,1.15821,0.78807,0.78829,0.83406,0.48889,1.40702,0.89957,1.22242,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4067.96,1.31377,0.92592,1.16087,0.80774,0.78257,0.8413,0.49301,1.41841,0.89682,1.22705,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4145.65,1.30714,0.92462,1.15958,0.81663,0.79057,0.84258,0.49659,1.40477,0.90063,1.22002,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4224.31,1.30742,0.91846,1.1569,0.79739,0.79738,0.84054,0.4961,1.40072,0.89828,1.22206,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4302.51,1.30447,0.91638,1.15612,0.81083,0.78772,0.84161,0.49689,1.40626,0.88214,1.21941,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4381.22,1.29693,0.90953,1.15941,0.8023,0.79936,0.84014,0.49691,1.39886,0.88488,1.21416,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4460.28,1.29653,0.91182,1.15661,0.81361,0.79178,0.84307,0.49799,1.40443,0.87707,1.22009,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4538.69,1.28823,0.89457,1.15316,0.81494,0.78922,0.84461,0.49714,1.39886,0.87953,1.21893,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
