conf_percent,class_percent,localisation_percent,fold_0_auprc,fold_0_auroc,fold_1_auprc,fold_1_auroc,fold_2_auprc,fold_2_auroc,fold_3_auprc,fold_3_auroc,fold_4_auprc,fold_4_auroc,mean_fold_auprc,mean_fold_auroc,equal_weight_distance
0,44,56,0.9515351998806043,0.8559162214618724,0.9508118881394035,0.873670227269257,0.9530057643383733,0.8596449864673699,0.9672417994303947,0.8887411363194285,0.965160281278112,0.8858519757396162,0.9575509866133775,0.8727649094515089,0.4169732205629837
0,45,55,0.9514373740412383,0.8557211317205915,0.9506362483965995,0.8734259220884603,0.9529234384199491,0.8593930663841717,0.9671456934810881,0.8886208908772613,0.9650738611002113,0.8857472115899082,0.9574433230878172,0.8725816445320786,0.4143267631552018
0,46,54,0.9513691640185379,0.8555810672909538,0.9504236239046068,0.8731358096862641,0.9528850131138783,0.8592380386406651,0.9670853604448564,0.8885218652190059,0.9650121809761497,0.8856761216311778,0.9573550684916057,0.8724305804936133,0.41214884042863287
0,47,53,0.9514352004418302,0.8554810212697841,0.950255674924691,0.8729045922830101,0.9528006715320785,0.858995807791436,0.9669785400894848,0.8883874732542307,0.9648935611107484,0.8855040090995148,0.9572727296197666,0.8722545807395952,0.4104469108991645
0,48,52,0.9512862981041633,0.8551858855073333,0.950052556803755,0.8726122985845569,0.9526894399143786,0.8587309687296122,0.9668943589395778,0.8882919842266273,0.9648371822072616,0.8854291775640091,0.9571519671938272,0.8720500629224277,0.40922691341927486
0,49,51,0.9511866901963988,0.8549882946155232,0.9498366265816253,0.872346180441189,0.9525679739687376,0.8584758189017576,0.9667721596289688,0.8881222259553323,0.9647612602392186,0.8853318965678516,0.9570249421229897,0.8718528832963308,0.40849316599750685
0,50,50,0.9510435491988146,0.8547331772615403,0.9496149908569753,0.8720517054464786,0.9524685799353907,0.858220669073903,0.9666363657023913,0.8879772240986012,0.9647002818526925,0.8852383571484695,0.9568927535092528,0.8716442266057985,0.408248290463863
0,51,49,0.9508718302102691,0.8545130760149668,0.9493525799317772,0.8717419613779684,0.9523509541289753,0.8579655192460484,0.9665451767445098,0.8878428321338261,0.9646390357920104,0.8851186266916604,0.9567519153615084,0.871436403092894,0.40849316599750685
0,52,48,0.9506374847609352,0.8542229425535747,0.9491115075588865,0.8714300360132012,0.952224417133484,0.8577135991628502,0.9664349069540796,0.887697830277095,0.9645731644113464,0.8850250872722782,0.9565962961637464,0.8712178990557998,0.40922691341927486
0,53,47,0.950379700042174,0.8539453148448286,0.948884392752853,0.8711421049072622,0.952084182489956,0.8574649088243084,0.9664002694249565,0.8876553907092712,0.9644784962005819,0.8848978736619186,0.9564454081821042,0.8710211185895178,0.4104469108991645
0,54,46,0.9500941109431995,0.8536601836844949,0.9485012949796803,0.8708650802826088,0.9519935202993665,0.857261434910956,0.9662888532725745,0.887538681897756,0.9643920455212537,0.8847744016283342,0.9562539650032148,0.87081995648083,0.41214884042863287
0,55,45,0.9498677483136635,0.8534575904916262,0.9482729850240325,0.8705793304729268,0.9519372845384602,0.8571419343586696,0.9662209454796716,0.8874431928701526,0.9643320694399974,0.8846846037857273,0.956126206559165,0.8706613303958205,0.4143267631552018
0,56,44,0.9496162870696252,0.8532574984492867,0.9480891604908878,0.8702935806632449,0.9518254798038844,0.8569029332540969,0.9660236000741065,0.8872875811214656,0.9642641511485589,0.884561131752143,0.9559637357174126,0.8704605450480475,0.4169732205629837
0,57,43,0.9493795128577642,0.8530474018048302,0.9478804738493233,0.8700623632599909,0.951716039428372,0.8566929998514318,0.9658574049747277,0.8871425792647345,0.9641704461270137,0.8844114686811316,0.9558007754474402,0.8702713625724238,0.42007935758219145
0,58,42,0.9490593293115391,0.8527422614402626,0.9476559092019178,0.8697940638203658,0.9515827778729384,0.8564507690022027,0.9657869293252536,0.8870329437145231,0.9640981918444799,0.8842879966475472,0.9556366275112257,0.8700616069249802,0.42363506307512677
0,59,41,0.9488106699372163,0.8525046521399844,0.947240954678666,0.8695170391957124,0.951473850011943,0.856253754578163,0.9657280873160434,0.8869622111014837,0.9640302506685131,0.8841757493442887,0.9554567625224764,0.8698826812719265,0.42762912279996396
0,60,40,0.9485551656580716,0.8522595393881185,0.9470793021412418,0.8693185412363151,0.9513768330279507,0.856085807856031,0.9656620747718765,0.8868561121819243,0.9639705627313769,0.8840597604642548,0.9553287876661034,0.8697159522253287,0.43204937989385733
0,61,39,0.9482782667971522,0.852016927786782,0.9468283661784049,0.8690262475378618,0.9512916920778631,0.8559275503678679,0.965616175751213,0.8867889161995367,0.9639119422804856,0.8839400300074457,0.9551852886170238,0.8695399343798987,0.4368828981164937
0,62,38,0.948067149876286,0.8518168357444424,0.9466374944350343,0.8687644919870082,0.9511972037857276,0.8557789821136741,0.9655814607461096,0.886742940001061,0.9638658143170511,0.8838764232022659,0.9550698246320417,0.8693959346096903,0.4421161235090468
0,63,37,0.9477730635654815,0.8515642195409888,0.9464315695933091,0.868511461621183,0.9511135043934006,0.8556304138594802,0.9655142054467235,0.8866580608654135,0.9637921479899947,0.8837641758990074,0.9549248981977818,0.8692256663572145,0.44773504069557335
0,64,36,0.9475796967972031,0.8513841367028834,0.9462715323380043,0.8683107823655285,0.9510191343833464,0.8554721563713172,0.9654399731368433,0.8865554985765062,0.9637239782456759,0.8836444454421982,0.9548068629802146,0.8690734038916867,0.4537253207246281
0,65,35,0.9474013370622761,0.8511640354563099,0.9460792477792147,0.868107921813617,0.9509361524488283,0.8553138988831543,0.9653448882716453,0.8864600095489028,0.9636782476024769,0.8835770970602431,0.9546879746328883,0.8689245925524455,0.46007245806140873
